project-001	https://www.biglakemn.org/AgendaCenter/ViewFile/Agenda/_02182026-1219	plan=25	elevation=13
project-017	https://oa.mo.gov/sites/default/files/bid-opportunities/_F2402-01%20Final%20Bid%20Plans.pdf	plan=2	elevation=2
project-018	https://www.idealconstruction.com/wp-content/uploads/2023/11/OPPD-Elkhorn-Storage-Building-Drawings.pdf	plan=1	elevation=1
project-019	https://mountainline.az.gov/wp-content/uploads/2022/01/RFP-2022-170-Campus-Bus-Storage-Phase-1-CDL-Course-and-Access-Road-Exhibit-B-Schematic-Design.pdf	plan=1	elevation=1
project-020	https://www.sedalia.com/wp-content/uploads/0602_2025-City-of-Sedalia-Housing-Plan-A.pdf	plan=1	elevation=1
project-021	https://cms9files.revize.com/PortervilleCA/Plan-2.pdf	plan=1	elevation=1
project-022	https://arconbuilders.com/wp-content/uploads/2024/05/Plans-Civil-Arch-Structrual.pdf	plan=1	elevation=1
project-023	https://www.cityoftalent.org/sites/g/files/vyhlif13561/files/media/development/file/13431/hodson_1_-_units_a_b_construction_plans.pdf	plan=1	elevation=1
project-024	https://prorfx.com/Storage/110S34471_051/ProRFx/Upload/Attachments/General/Exhibit%20C%20-%20Building%20Plans._2ef14314.pdf	plan=1	elevation=1
project-025	https://www.obparks.org/sites/default/files/bid-rfp/specifications-plans/Restroom-concession%20support%20building%20technical%20specs_0.pdf	plan=3	elevation=3
project-026	https://services.austintexas.gov/edims/document.cfm?id=407693	plan=1	elevation=1
project-027	https://services.austintexas.gov/edims/document.cfm?id=370579	plan=7	elevation=7
project-028	https://ashlandoregon.gov/DocumentCenter/View/2939/ARU-Plans_The-Dogwood	plan=1	elevation=1
project-029	https://www.portlandoregon.gov/bds/appeals/index.cfm?action=getfile&appeal_id=18228&file_id=21985	plan=1	elevation=1
project-030	https://services.austintexas.gov/edims/document.cfm?id=369868	plan=3	elevation=3
project-031	https://www.falmouthma.gov/DocumentCenter/View/8214/511-Brick-Kiln-Road-Village-at-Old-Main-LLC---arch-plans	plan=2	elevation=2
project-032	https://braintreema.gov/DocumentCenter/View/7882/197-Grove-Architectural-Set	plan=2	elevation=2
project-033	https://services.austintexas.gov/edims/document.cfm?id=446614	plan=1	elevation=1
project-034	https://services.austintexas.gov/edims/document.cfm?id=446619	plan=1	elevation=1
project-035	https://services.austintexas.gov/edims/document.cfm?id=241454	plan=1	elevation=1
project-036	https://services.austintexas.gov/edims/document.cfm?id=450645	plan=1	elevation=1
project-037	https://services.austintexas.gov/edims/document.cfm?id=350239	plan=1	elevation=1
project-038	https://services.austintexas.gov/edims/document.cfm?id=416373	plan=1	elevation=1
project-039	https://services.austintexas.gov/edims/document.cfm?id=250751	plan=6	elevation=6
project-040	https://services.austintexas.gov/edims/document.cfm?id=194863	plan=7	elevation=7
project-041	https://mylesmckenzie.com/project_files/20220809-Mesecher-Goudreau-Residence-REV1.pdf	plan=1	elevation=1
project-042	https://mylesmckenzie.com/project_files/20210914-Awad-Residence-REV-1-S&S.pdf	plan=1	elevation=1
project-043	https://mylesmckenzie.com/project_files/20210720-Simmons-Residence-SIGNED-2.pdf	plan=1	elevation=1
project-044	https://ci.excelsior.mn.us/DocumentCenter/View/2408/FULL-ARCHITECTURAL-PLANS	plan=1	elevation=1
project-045	https://www.colletoncounty.org/sites/default/files/uploads/bid-documents/cpst-09-rec-complex-part-3--plans.pdf	plan=1	elevation=1
project-046	https://services.austintexas.gov/edims/document.cfm?id=342279	plan=1	elevation=1
project-047	https://www.ci.sandy.or.us/sites/default/files/architectural_plans_24x36_6.26.237032.pdf	plan=1	elevation=1
project-048	https://www.mercedcsd.org/fs/resource-manager/view/d4f82f1a-cd0e-4a24-8abd-c876b10d8bfd	plan=1	elevation=1
project-049	https://resources.finalsite.net/images/v1704816174/lodiusdnet/ax6ad2rop773tmyxjz3r/02-121945_DWG_A.pdf	plan=1	elevation=1
project-050	https://www.cohassetma.gov/DocumentCenter/View/12139/34-Summer-Street-Architectural-Plans-032124	plan=2	elevation=2
project-051	https://wp.jcdhomes.com/wp-content/uploads/2022/11/WEBSITE-SAMPLE-DRAWING-SET.pdf	plan=1	elevation=1
project-052	https://evergreenhomesnw.com/wp-content/uploads/2021/07/Selah-Plan-2352-flyer_Evergreen-Homes_New-Homes-Tour.pdf	plan=1	elevation=1
project-053	https://services.austintexas.gov/edims/document.cfm?id=466670	plan=6	elevation=1
project-054	https://www.pottcounty-ia.gov/files/bid_notices/114026.pdf	plan=1	elevation=1
project-055	https://cloud.chiefarchitect.com/1/pdf/plan-sets/hayden-lake-w.pdf	plan=1	elevation=1
project-056	https://stgenpln.blob.core.windows.net/document/PLN14_10687_Plans.pdf	plan=1	elevation=1
project-057	https://documents.cabq.gov/planning/BuildingSafety/COA-ADU/3DCP%20ADU%20750.pdf	plan=1	elevation=1
project-058	https://www.sedalia.com/wp-content/uploads/0602_2025-City-of-Sedalia-Housing-Plan-B.pdf	plan=1	elevation=1
project-059	https://media-003-ca.cdn.govstack.com/midland-ca/media/shufh5zn/elevations-b1.pdf	plan=1	elevation=1
project-060	https://www.camdennj.gov/wp-content/uploads/2025/11/CAMDEN-COUNTY-MULTI-AGENCY-SERVICE-CENTER-1220-BROADWAY-Final.pdf	plan=1	elevation=1
project-061	https://devapps.norfolkcounty.ca/ANPL2025038.pdf	plan=16	elevation=16
project-062	https://wsutech.edu/wp-content/uploads/RFP/WSU%20Tech%20East%20High%20Snap%20On_Certified%20Final%20Combined_.pdf	plan=1	elevation=1
project-063	https://www.eastcentral.edu/common/bid-opportunities/ECC-Rolla-USGS-Renovations-CD-Drawings.pdf	plan=2	elevation=2
project-064	https://img1.wsimg.com/blobby/go/7cc1da32-08e8-4e18-b2e4-7bf39fe46894/downloads/251%20W%20Hazel%20-%202022.7.26-%20Bid%20Drawings.pdf?ver=1759496744705	plan=1	elevation=1
project-065	https://www.gunnisoncounty.org/DocumentCenter/View/16170/Model2storyPost	plan=2	elevation=2
project-066	https://www.surrey.ca/sites/default/files/media/tender_docs/221028_CBRCE_Phase_2_-_Issued_for_Review_-_Structural.pdf	plan=1	elevation=4
project-067	https://mjdixon.ca/wp-content/uploads/2023/07/PRS-32-Structural-Drawings-IFC.pdf	plan=1	elevation=8
project-068	https://assets.habitat.ca/southeast-bc/images/C21001-022-Habitat-for-Humanity-Fourplex-New-Concept-For-Building-Permit-Feb-22ND-2022-Copy.pdf	plan=1	elevation=4
project-069	https://ggcontracting.ca/wp-content/uploads/2024/04/2-Drawings-5.pdf	plan=15	elevation=1
project-070	https://dmdmaps.cabq.gov/Construction_Drawings/588102.pdf	plan=1	elevation=1
project-071	https://lumber-one.com/wp-content/uploads/2024/09/Structural-Plan-Set-8.23.24.pdf	plan=3	elevation=3
project-072	https://legacy.winnipeg.ca/finance/findata/matmgt/documents/2013/748-2013/748-2013_Bid_Opportunity.pdf	plan=12	elevation=34
project-073	https://www.primedmosaiccentre.com/wp-content/uploads/2016/03/2014-03-14_Mosaic_IFC_Foundations.pdf	plan=1	elevation=1
project-074	https://purchasing.uky.edu/sites/default/files/2021-09/cck-2568-22add4.pdf	plan=15	elevation=17
project-075	https://abcksmo.org/wp-content/uploads/2019/09/CP180131-WCH-Exterior-Envelope-Specs.pdf	plan=2	elevation=31
project-076	https://jgrarchitects.com/wp-content/uploads/2025/08/Carter-Lake-STRUCT-Permit-Set-8-1-2025.pdf	plan=1	elevation=15
